regWord,ipaWord,formality,formalityScore,totalSentenceCount
recipe,rɛsəpi,0,0.16,50
ticket,tɪkət,0,0.22,50
upset,əpsɛt,0,0.18,50
staying,steɪŋ,0,0.265306,49
ton,tən,0,0.204082,49
assuming,əsumɪŋ,0,0.122449,49
battery,bætəri,0,0.183673,49
cancer,kænsər,0,0.265306,49
insight,ɪnsajt,0,0.22449,49
install,ɪnstɔl,0,0.142857,49
submit,səbmɪt,0,0.291667,48
messages,mɛsədʒəz,0,0.166667,48
parking,parkɪŋ,0,0.25,48
monitor,manətər,0,0.0212766,47
wow,waw,0,0,47
kicked,kɪkt,0,0.276596,47
brand,brænd,0,0.276596,47
donate,donet,0,0.0638298,47
atheist,eθiəst,0,0,46
bathroom,bæθrum,0,0.173913,46
marijuana,mɛrəwanə,0,0.152174,46
porn,pɔrn,0,0,46
pro,pro,0,0.108696,46
adding,ædɪŋ,0,0.288889,45
alright,ɔlrajt,0,0,45
cute,kjut,0,0.0222222,45
suck,sək,0,0.0666667,45
client,klajənt,0,0.204545,44
crying,krajɪŋ,0,0.181818,44
kiss,kɪs,0,0.272727,44
setup,sɛtəp,0,0.139535,43
vintage,vɪntɪdʒ,0,0.0465116,43
picking,pɪkɪŋ,0,0.209302,43
roughly,rəfli,0,0.162791,43
cannabis,kænəbəs,0,0,43
boot,but,0,0.142857,42
clue,klu,0,0.261905,42
desktop,dɛsktap,0,0,42
sucks,səks,0,0,42
throwing,θroɪŋ,0,0.261905,42
updates,əpdets,0,0,42
lens,lɛnz,0,0.142857,42
manage,mænədʒ,0,0.285714,42
mouse,maws,0,0.142857,42
photo,foto,0,0.0952381,42
balls,bɔlz,0,0.195122,41
buddy,bədi,0,0.243902,41
cheese,tʃiz,0,0.146341,41
keyboard,kibɔrd,0,0.0731707,41
everyday,ɛvride,0,0.225,40
gaming,gemɪŋ,0,0.025,40
programming,progræmɪŋ,0,0.05,40
ram,ræm,0,0.05,40
quote,kwot,0,0.282051,39
screwed,skrud,0,0.282051,39
enjoying,ɛndʒɔjɪŋ,0,0.205128,39
expecting,ɪkspɛktɪŋ,0,0.282051,39
gym,dʒɪm,0,0.025641,39
servers,sərvərz,0,0,39
couch,kawtʃ,0,0.282051,39
creepy,kripi,0,0.025641,39
custom,kəstəm,0,0.205128,39
arguments,argjəmənts,0,0.236842,38
attacks,ətæks,0,0.289474,38
bitch,bɪtʃ,0,0.157895,38
forum,fɔrəm,0,0.157895,38
matches,mætʃəz,0,0.289474,38
updated,əpdetəd,0,0.0526316,38
zombie,zambi,0,0,38
shake,ʃek,0,0.27027,37
silly,sɪli,0,0.27027,37
tech,tɛk,0,0.0810811,37
dumb,dəm,0,0.27027,37
fake,fek,0,0.162162,37
bet,bɛt,0,0.27027,37
menu,mɛnju,0,0.108108,37
notch,natʃ,0,0.135135,37
relevant,rɛləvənt,0,0.216216,37
sadly,sædli,0,0.216216,37
loving,ləvɪŋ,0,0.25,36
sometime,səmtajm,0,0.222222,36
walks,wɔks,0,0.25,36
android,ændrɔjd,0,0,36
diamond,dajmənd,0,0.138889,36
boring,bɔrɪŋ,0,0.0571429,35
cable,kebəl,0,0.2,35
dude,dud,0,0,35
expand,ɪkspænd,0,0.228571,35
friendship,frɛndʃɪp,0,0.285714,35
frustrated,frəstretəd,0,0.171429,35
kissed,kɪst,0,0.285714,35
shy,ʃaj,0,0.228571,35
threads,θrɛdz,0,0.171429,35
upgrade,əpgred,0,0.0285714,35
shower,ʃawər,0,0.205882,34
talks,tɔks,0,0.294118,34
mac,mæk,0,0,34
math,mæθ,0,0.0588235,34
poster,postər,0,0.0882353,34
script,skrɪpt,0,0.235294,34
id,ɪd,0,0,34
inspired,ɪnspajərd,0,0.294118,34
lazy,lezi,0,0.235294,34
graphics,græfɪks,0,0,33
hardware,hardwɛr,0,0.212121,33
log,lɔg,0,0.242424,33
settings,sɛtɪŋz,0,0.121212,33
tickets,tɪkəts,0,0.212121,33
abuse,əbjus,0,0.212121,33
bonus,bonəs,0,0.0606061,33
